District,Province,Total Voters,Liberal,Conservative,NDP,BQ,Others,Total Votes,Elected
10001,NL,64424,16008.0,14749.0,5157.0,0.0,494.0,36408,Liberal
10002,NL,69936,17977.0,8595.0,4306.0,0.0,279.0,31157,Liberal
10003,NL,59109,17119.0,7559.0,4751.0,0.0,585.0,30014,Liberal
10004,NL,20305,4177.0,4256.0,2120.0,0.0,139.0,10692,Conservative
10005,NL,57556,12914.0,8322.0,4465.0,0.0,307.0,26008,Liberal
10006,NL,76424,3019.0,9198.0,31388.0,0.0,467.0,44072,NDP
10007,NL,67025,11130.0,8883.0,18681.0,0.0,291.0,38985,NDP
11001,PE,27581,10486.0,8107.0,2164.0,0.0,373.0,21130,Liberal
11002,PE,26760,7292.0,6040.0,4632.0,0.0,504.0,18468,Liberal
11003,PE,27197,5997.0,10467.0,2369.0,0.0,320.0,19153,Conservative
11004,PE,26918,8605.0,7934.0,2970.0,0.0,785.0,20294,Liberal
12001,NS,57331,16478.0,10873.0,6984.0,0.0,1141.0,35476,Liberal
12002,NS,57963,5614.0,21593.0,9412.0,0.0,1406.0,38025,Conservative
12003,NS,70756,15181.0,10702.0,15678.0,0.0,1662.0,43223,NDP
12004,NS,73357,11793.0,8276.0,23746.0,0.0,2172.0,45987,NDP
12005,NS,72862,16230.0,13782.0,13239.0,0.0,1931.0,45182,Liberal
12006,NS,65355,15887.0,14714.0,8043.0,0.0,1520.0,40164,Liberal
12007,NS,69188,7264.0,21041.0,9322.0,0.0,2484.0,40111,Conservative
12008,NS,70329,4673.0,12662.0,22483.0,0.0,1762.0,41580,NDP
12009,NS,67296,7037.0,17948.0,15033.0,0.0,1579.0,41597,Conservative
12010,NS,60719,14788.0,14023.0,7049.0,0.0,1191.0,37051,Liberal
12011,NS,67938,15632.0,20204.0,5631.0,0.0,1487.0,42954,Conservative
13001,NB,66298,6491.0,7456.0,32067.0,0.0,0.0,46014,NDP
13002,NB,63267,17399.0,14811.0,10397.0,0.0,1913.0,44520,Liberal
13003,NB,69732,10336.0,21573.0,10626.0,0.0,2056.0,44591,Conservative
13004,NB,56795,3668.0,21206.0,9845.0,0.0,1757.0,36476,Conservative
13005,NB,50966,12309.0,14224.0,6562.0,0.0,1902.0,34997,Conservative
13006,NB,43547,6800.0,16112.0,7097.0,0.0,735.0,30744,Conservative
13007,NB,75298,15247.0,17408.0,14053.0,0.0,2016.0,48724,Conservative
13008,NB,49578,4320.0,18066.0,7413.0,0.0,2096.0,31895,Conservative
13009,NB,64264,5964.0,18456.0,11382.0,0.0,1311.0,37113,Conservative
13010,NB,53073,5337.0,21108.0,6388.0,0.0,831.0,33664,Conservative
24001,QC,82079,2859.0,4777.0,24763.0,15258.0,694.0,48351,NDP
24002,QC,73254,13087.0,3770.0,14200.0,14908.0,919.0,46884,BQ
24003,QC,84630,12070.0,6157.0,23098.0,12504.0,1043.0,54872,NDP
24004,QC,96723,7135.0,6497.0,25802.0,16880.0,1965.0,58279,NDP
24005,QC,84941,5833.0,26799.0,15831.0,3535.0,852.0,52850,Conservative
24006,QC,89454,4559.0,7049.0,23998.0,18182.0,1003.0,54791,NDP
24007,QC,84859,3162.0,13845.0,24306.0,10250.0,1196.0,52759,NDP
24008,QC,90838,8060.0,7904.0,22403.0,16668.0,1569.0,56604,NDP
24009,QC,70207,15550.0,3354.0,12270.0,6105.0,734.0,38013,Liberal
24010,QC,80371,11589.0,6256.0,22407.0,11173.0,1120.0,52545,NDP
24011,QC,96795,16976.0,7806.0,25512.0,10890.0,1010.0,62194,NDP
24012,QC,99210,6165.0,5425.0,29591.0,19147.0,8915.0,69243,NDP
24013,QC,82345,3505.0,16220.0,24131.0,8732.0,1021.0,53609,NDP
24014,QC,76661,2628.0,9660.0,17601.0,16425.0,814.0,47128,NDP
24015,QC,88908,5069.0,5756.0,29156.0,14957.0,1085.0,56023,NDP
24016,QC,79369,2852.0,12881.0,19430.0,14675.0,1120.0,50958,NDP
24017,QC,80470,6132.0,5982.0,24097.0,13179.0,1241.0,50631,NDP
24018,QC,77280,3979.0,7555.0,24489.0,10410.0,987.0,47420,NDP
24019,QC,69429,5533.0,6292.0,12427.0,11650.0,913.0,36815,NDP
24020,QC,89537,7975.0,4532.0,35262.0,8619.0,639.0,57027,NDP
24021,QC,80515,5064.0,3126.0,22314.0,14451.0,1367.0,46322,NDP
24022,QC,81736,14641.0,5992.0,17545.0,8935.0,1121.0,48234,NDP
24023,QC,91958,12051.0,6058.0,35194.0,5019.0,1125.0,59447,NDP
24024,QC,89365,10054.0,4678.0,23293.0,12635.0,1498.0,52158,NDP
24025,QC,91695,3545.0,5525.0,27050.0,18804.0,2227.0,57151,NDP
24026,QC,81098,1043.0,18569.0,22900.0,9554.0,652.0,52718,NDP
24027,QC,82542,18457.0,15394.0,16253.0,1689.0,2315.0,54108,Liberal
24028,QC,80201,4369.0,3664.0,23033.0,15475.0,1111.0,47652,NDP
24029,QC,74755,11172.0,5516.0,17691.0,6151.0,1442.0,41972,NDP
24030,QC,92025,7169.0,5246.0,24800.0,17799.0,1572.0,56586,NDP
24031,QC,79772,4976.0,1764.0,23373.0,17991.0,2009.0,50113,NDP
24032,QC,85204,9422.0,6366.0,22050.0,11567.0,1484.0,50889,NDP
24033,QC,92755,11108.0,8587.0,25703.0,7022.0,1529.0,53949,NDP
24034,QC,90515,3421.0,25850.0,19890.0,8757.0,903.0,58821,Conservative
24035,QC,78791,5321.0,4339.0,27119.0,14181.0,1260.0,52220,NDP
24036,QC,82725,2866.0,22460.0,21683.0,8381.0,936.0,56326,Conservative
24037,QC,82760,8110.0,13207.0,23373.0,14640.0,1139.0,60469,NDP
24038,QC,86945,3612.0,21334.0,22629.0,8148.0,1032.0,56755,NDP
24039,QC,65648,1882.0,3878.0,16437.0,10495.0,898.0,33590,NDP
24040,QC,87923,7035.0,5768.0,29107.0,15470.0,1208.0,58588,NDP
24041,QC,59397,8964.0,5253.0,7484.0,12633.0,707.0,35041,BQ
24042,QC,70238,2601.0,21931.0,11716.0,7481.0,905.0,44634,Conservative
24043,QC,107677,3501.0,5118.0,34434.0,19609.0,2347.0,65009,NDP
24044,QC,68556,16151.0,13891.0,6963.0,1136.0,866.0,39007,Liberal
24045,QC,77977,14407.0,6574.0,17943.0,3983.0,2252.0,45159,NDP
24046,QC,59325,3282.0,7089.0,13961.0,5615.0,1221.0,31168,NDP
