District,Province,Total Voters,Liberal,Conservative,NDP,BQ,Others,Total Votes,Elected
10001,NL,63745,18335.0,9211.0,3450.0,0.0,430.0,31426,Liberal
10002,NL,71952,15970.0,13786.0,2667.0,0.0,711.0,33134,Liberal
10003,NL,59893,17820.0,6538.0,3743.0,0.0,384.0,28485,Liberal
10004,NL,19909,5524.0,1400.0,856.0,0.0,1097.0,8877,Liberal
10005,NL,59256,12383.0,4820.0,8797.0,0.0,474.0,26474,Liberal
10006,NL,65660,13343.0,15073.0,7198.0,0.0,791.0,36405,Conservative
10007,NL,64617,11879.0,13330.0,7989.0,0.0,493.0,33691,Conservative
11001,PE,27656,11064.0,6889.0,2103.0,0.0,670.0,20726,Liberal
11002,PE,27820,9175.0,5121.0,3428.0,0.0,865.0,18589,Liberal
11003,PE,27545,10220.0,5363.0,2133.0,0.0,717.0,18433,Liberal
11004,PE,26010,9782.0,6126.0,1902.0,0.0,1037.0,18847,Liberal
12001,NS,59825,20139.0,7654.0,9197.0,0.0,820.0,37810,Liberal
12002,NS,58240,9986.0,16376.0,10470.0,0.0,1015.0,37847,Conservative
12003,NS,67176,17425.0,8739.0,13463.0,0.0,1796.0,41423,Liberal
12004,NS,70847,17267.0,6457.0,18341.0,0.0,2081.0,44146,NDP
12005,NS,63479,19083.0,8413.0,11228.0,0.0,1452.0,40176,Liberal
12006,NS,60801,17555.0,11344.0,6663.0,0.0,2099.0,37661,Liberal
12007,NS,66451,10591.0,20188.0,7560.0,0.0,1644.0,39983,Conservative
12008,NS,64979,11222.0,8363.0,17925.0,0.0,1652.0,39162,NDP
12009,NS,65487,12658.0,14954.0,10140.0,0.0,1700.0,39452,Conservative
12010,NS,61826,19372.0,5897.0,10298.0,0.0,1593.0,37160,Liberal
12011,NS,67821,18343.0,14209.0,9086.0,0.0,1385.0,43023,Liberal
13001,NB,63603,14452.0,4841.0,23857.0,0.0,1085.0,44235,NDP
13002,NB,61327,21934.0,11604.0,6056.0,0.0,1574.0,41168,Liberal
13003,NB,68968,19819.0,14193.0,7360.0,0.0,997.0,42369,Liberal
13004,NB,54113,11635.0,14997.0,5417.0,0.0,1409.0,33458,Conservative
13005,NB,54369,14144.0,7605.0,8737.0,0.0,1185.0,31671,Liberal
13006,NB,51027,15647.0,9448.0,5980.0,0.0,1468.0,32543,Liberal
13007,NB,72845,25266.0,10003.0,5344.0,0.0,1998.0,42611,Liberal
13008,NB,49834,9702.0,16339.0,3600.0,0.0,1154.0,30795,Conservative
13009,NB,66423,15725.0,12212.0,6926.0,0.0,1466.0,36329,Liberal
13010,NB,54931,16787.0,13779.0,2957.0,0.0,1282.0,34805,Liberal
24001,QC,79986,13457.0,2425.0,1472.0,25041.0,1037.0,43432,BQ
24002,QC,76671,21234.0,2544.0,3013.0,20020.0,1717.0,48528,Liberal
24003,QC,80148,21116.0,2703.0,1849.0,26239.0,1425.0,53332,BQ
24004,QC,83364,13214.0,3460.0,1493.0,28228.0,2781.0,49176,BQ
24005,QC,81392,19592.0,8091.0,1443.0,17168.0,1054.0,47348,Liberal
24006,QC,84108,18293.0,4864.0,1018.0,26775.0,1895.0,52845,BQ
24007,QC,83685,11866.0,7388.0,1896.0,22989.0,2162.0,46301,BQ
24008,QC,83858,11198.0,5535.0,1653.0,29432.0,1314.0,49132,BQ
24009,QC,75144,20927.0,2226.0,1661.0,15794.0,1217.0,41825,Liberal
24010,QC,71866,18609.0,4888.0,1177.0,17537.0,2011.0,44222,Liberal
24011,QC,83766,24155.0,3107.0,2321.0,21596.0,1449.0,52628,Liberal
24012,QC,85037,12694.0,4219.0,2681.0,33945.0,2248.0,55787,BQ
24013,QC,75827,11911.0,7306.0,1623.0,23886.0,1564.0,46290,BQ
24014,QC,73356,8598.0,5259.0,1055.0,25451.0,1422.0,41785,BQ
24015,QC,81092,15384.0,2902.0,1704.0,29337.0,1889.0,51216,BQ
24016,QC,79028,19787.0,2385.0,1699.0,20650.0,1038.0,45559,BQ
24017,QC,73974,15752.0,4589.0,1451.0,20450.0,1546.0,43788,BQ
24018,QC,70510,9591.0,7123.0,745.0,23670.0,921.0,42050,BQ
24019,QC,69089,12579.0,2636.0,805.0,21446.0,1060.0,38526,BQ
24020,QC,81644,19198.0,3461.0,2610.0,18368.0,1980.0,45617,Liberal
24021,QC,80702,11712.0,1856.0,2510.0,27476.0,2145.0,45699,BQ
24022,QC,79585,22223.0,2902.0,1973.0,19461.0,1642.0,48201,Liberal
24023,QC,83156,20135.0,3963.0,5709.0,15626.0,2659.0,48092,Liberal
