District,Province,Total Voters,Liberal,Conservative,NDP,BQ,Others,Total Votes,Elected
10001,NL,63882,14866.0,11542.0,5707.0,0.0,714.0,32829,Liberal
10002,NL,69828,20089.0,4354.0,3577.0,0.0,568.0,28588,Liberal
10003,NL,59797,17956.0,2799.0,4603.0,0.0,964.0,26322,Liberal
10004,NL,20175,5426.0,615.0,1378.0,0.0,302.0,7721,Liberal
10005,NL,57209,12557.0,4791.0,5563.0,0.0,462.0,23373,Liberal
10006,NL,73053,5211.0,3836.0,30881.0,0.0,1495.0,41423,NDP
10007,NL,66467,14920.0,4324.0,13971.0,0.0,1224.0,34439,Liberal
11001,PE,27374,10105.0,5661.0,1556.0,0.0,1811.0,19133,Liberal
11002,PE,27083,8893.0,5704.0,2187.0,0.0,982.0,17766,Liberal
11003,PE,27256,8055.0,8110.0,1670.0,0.0,626.0,18461,Conservative
11004,PE,26498,8312.0,7388.0,1819.0,0.0,1291.0,18810,Liberal
12001,NS,57753,17447.0,8524.0,7660.0,0.0,2641.0,36272,Liberal
12002,NS,58863,0.0,18240.0,7659.0,0.0,13243.0,39142,Conservative
12003,NS,69469,16016.0,9109.0,12793.0,0.0,2636.0,40554,Liberal
12004,NS,74717,12458.0,9295.0,19252.0,0.0,4093.0,45098,NDP
12005,NS,69960,17129.0,8708.0,12201.0,0.0,3177.0,41215,Liberal
12006,NS,64593,16641.0,9846.0,8291.0,0.0,2881.0,37659,Liberal
12007,NS,68831,3344.0,3493.0,4874.0,0.0,27853.0,39564,Others
12008,NS,67786,5018.0,8198.0,24279.0,0.0,2034.0,39529,NDP
12009,NS,66733,9536.0,14388.0,13456.0,0.0,2603.0,39983,Conservative
12010,NS,61448,17303.0,7223.0,8559.0,0.0,1941.0,35026,Liberal
12011,NS,67722,15185.0,16779.0,7097.0,0.0,2950.0,42011,Conservative
13001,NB,66509,9850.0,8331.0,25849.0,0.0,904.0,44934,NDP
13002,NB,62790,20059.0,12506.0,7242.0,0.0,3087.0,42894,Liberal
13003,NB,68368,13319.0,17962.0,6490.0,0.0,4461.0,42232,Conservative
13004,NB,54978,5773.0,17211.0,7907.0,0.0,2443.0,33334,Conservative
13005,NB,52222,16266.0,11402.0,5361.0,0.0,1287.0,34316,Liberal
13006,NB,44113,10590.0,12058.0,4904.0,0.0,1105.0,28657,Conservative
13007,NB,74660,17797.0,16297.0,7394.0,0.0,3998.0,45486,Liberal
13008,NB,49273,5863.0,17474.0,4958.0,0.0,1667.0,29962,Conservative
13009,NB,64868,13285.0,13782.0,5560.0,0.0,2218.0,34845,Conservative
13010,NB,53203,6773.0,18071.0,4830.0,0.0,1810.0,31484,Conservative
24001,QC,80456,9055.0,8267.0,4151.0,20929.0,1278.0,43680,BQ
24002,QC,73391,18392.0,4937.0,4276.0,18815.0,1228.0,47648,BQ
24003,QC,81766,15594.0,8662.0,6406.0,20686.0,1924.0,53272,BQ
24004,QC,91705,9984.0,9584.0,6819.0,26455.0,2153.0,54995,BQ
24005,QC,83205,5270.0,31883.0,4352.0,7143.0,2436.0,51084,Conservative
24006,QC,86431,7995.0,10858.0,6214.0,26904.0,1764.0,53735,BQ
24007,QC,83834,7030.0,17994.0,5986.0,15962.0,1973.0,48945,Conservative
24008,QC,88326,10035.0,12078.0,5684.0,24945.0,1691.0,54433,BQ
24009,QC,69612,19869.0,5405.0,3188.0,10145.0,1296.0,39903,Liberal
24010,QC,76636,16357.0,9309.0,4514.0,17561.0,2138.0,49879,BQ
24011,QC,91662,19103.0,11062.0,7452.0,19034.0,1973.0,58624,Liberal
24012,QC,93922,10649.0,9564.0,8998.0,31773.0,2460.0,63444,BQ
24013,QC,79791,7039.0,20566.0,6542.0,14602.0,1231.0,49980,Conservative
24014,QC,74813,5769.0,11789.0,3332.0,21068.0,1147.0,43105,BQ
24015,QC,84347,10104.0,9827.0,8261.0,25086.0,1755.0,55033,BQ
24016,QC,77959,6425.0,16680.0,3742.0,19737.0,1193.0,47777,BQ
24017,QC,78050,10946.0,9445.0,5483.0,20332.0,2368.0,48574,BQ
24018,QC,74630,7697.0,11490.0,7460.0,17613.0,1144.0,45404,BQ
24019,QC,68270,9840.0,8334.0,2549.0,14636.0,1136.0,36495,BQ
24020,QC,85970,13193.0,8762.0,13612.0,15189.0,1342.0,52098,BQ
24021,QC,79542,9442.0,4201.0,6600.0,22720.0,2720.0,45683,BQ
24022,QC,80429,21544.0,7549.0,4986.0,13871.0,1380.0,49330,Liberal
24023,QC,87036,19750.0,7996.0,10454.0,11625.0,2905.0,52730,Liberal
24024,QC,86201,15841.0,5494.0,7708.0,17144.0,2922.0,49109,BQ
24025,QC,87702,7769.0,9540.0,5579.0,28040.0,2588.0,53516,BQ
24026,QC,79322,2616.0,26639.0,2475.0,19035.0,0.0,50765,Conservative
24027,QC,80707,23842.0,12085.0,8105.0,2953.0,4415.0,51400,Liberal
24028,QC,79049,7403.0,5179.0,5975.0,25976.0,1778.0,46311,BQ
24029,QC,74505,17226.0,6802.0,5622.0,10384.0,2397.0,42431,Liberal
24030,QC,88692,14143.0,6914.0,4896.0,24956.0,2094.0,53003,BQ
24031,QC,79182,8798.0,2320.0,8209.0,24103.0,4545.0,47975,BQ
24032,QC,82362,14190.0,9101.0,6289.0,19085.0,1828.0,50493,BQ
24033,QC,87749,21603.0,11017.0,6124.0,12576.0,2088.0,53408,Liberal
24034,QC,87830,8130.0,24785.0,5856.0,13747.0,1483.0,54001,Conservative
24035,QC,77111,10920.0,7210.0,7021.0,23118.0,1855.0,50124,BQ
24036,QC,79721,6498.0,24495.0,6828.0,12738.0,1265.0,51824,Conservative
24037,QC,83272,13669.0,16343.0,5403.0,20992.0,1527.0,57934,BQ
24038,QC,81053,6712.0,23683.0,5252.0,13330.0,1260.0,50237,Conservative
24039,QC,63886,4737.0,8374.0,1491.0,15272.0,1112.0,30986,BQ
24040,QC,84243,13728.0,7759.0,6907.0,25552.0,2178.0,56124,BQ
24041,QC,59340,11368.0,5771.0,1497.0,11984.0,1314.0,31934,BQ
24042,QC,69864,6185.0,20697.0,4191.0,12283.0,959.0,44315,Conservative
24043,QC,99604,8387.0,8096.0,8337.0,33519.0,1854.0,60193,BQ
24044,QC,68211,19702.0,9676.0,2733.0,1543.0,1751.0,35405,Liberal
24045,QC,76119,19554.0,7108.0,6641.0,6962.0,3555.0,43820,Liberal
